Age,CIP2 ID,CIP2,Year,Average Wage,Average Wage Appx MOE,Record Count,Total Population,Total Population MOE Appx,share
39,"30","Interdisciplinary Studies",2019,86930.17642466823,13391.775164073257,968,21777,3622.7796211704904,0.02497488405378253
39,"30","Interdisciplinary Studies",2020,88909.60463996498,13194.02922801413,992,22845,3710.5396697081933,0.025038113389938065
39,"30","Interdisciplinary Studies",2021,94369.77442066302,13442.391910425918,1068,24856,3870.3887015752025,0.026066228943623496
39,"30","Interdisciplinary Studies",2022,100332.56025261496,14042.381862248303,1100,25335,3907.5009804858073,0.02584484118199726
39,"30","Interdisciplinary Studies",2023,101909.78879654787,14424.440443863714,1127,25028,3883.7601704725384,0.024882091415936947
40,"30","Interdisciplinary Studies",2014,79812.33254977212,12243.473626300669,926,20845,3544.4000166402384,0.027766418418413086
40,"30","Interdisciplinary Studies",2015,81194.41429049052,12764.337704785572,914,20937,3552.216282158101,0.027069133146468357
40,"30","Interdisciplinary Studies",2016,84342.3462830644,13611.934746996538,931,21133,3568.8061916390257,0.02673263068414688
40,"30","Interdisciplinary Studies",2017,88384.86689155309,14303.878856485755,968,21937,3636.0542103604075,0.02693728795036181
40,"30","Interdisciplinary Studies",2018,90194.00175916967,14264.208262305254,979,22738,3701.835642058587,0.02696276936978173
40,"30","Interdisciplinary Studies",2019,90678.35341969141,14744.967844535493,987,22619,3692.141684506161,0.02594052910926698
40,"30","Interdisciplinary Studies",2020,89899.88893047239,14322.90314698267,1019,24048,3806.9680133213014,0.026356601041857323
40,"30","Interdisciplinary Studies",2021,91923.77393406245,13972.01092012014,1068,25236,3899.856933358312,0.026464730995384718
40,"30","Interdisciplinary Studies",2022,98613.65966619206,14802.668797945496,1100,25284,3903.5667032804786,0.025792814858717927
40,"30","Interdisciplinary Studies",2023,102118.36846872962,14949.334839561228,1192,27598,4078.256126639675,0.027437108794031797
41,"30","Interdisciplinary Studies",2014,86451.11084743975,14270.779752603277,857,18963,3380.6349762902473,0.02525951511002002
41,"30","Interdisciplinary Studies",2015,91509.43279062842,15703.282516309691,900,20146,3484.478747493753,0.02604646111519088
41,"30","Interdisciplinary Studies",2016,91166.44686428715,16045.915260197255,897,19836,3457.5735231040935,0.025091963386681373
41,"30","Interdisciplinary Studies",2017,99175.88768315247,17788.49677648283,900,19997,3471.5791881963137,0.024555087165217905
41,"30","Interdisciplinary Studies",2018,99320.26791833583,17388.79371419153,921,20719,3533.6895677131597,0.024568634821554563
41,"30","Interdisciplinary Studies",2019,101048.07111006806,17933.17223581771,953,21305,3583.309744246279,0.0244335723362188
41,"30","Interdisciplinary Studies",2020,97573.93232664783,16767.45158708614,933,21589,3607.1116886434834,0.023661537753354032
41,"30","Interdisciplinary Studies",2021,99662.46432427569,15969.29438664142,968,22228,3660.099923015425,0.023310272648811678
41,"30","Interdisciplinary Studies",2022,104041.58520816041,16166.780584679404,1030,22891,3714.2788764434413,0.02335165816053283
41,"30","Interdisciplinary Studies",2023,108449.47983819459,16958.967616974518,1074,23485,3762.155975355796,0.023348086818894005
42,"30","Interdisciplinary Studies",2014,83917.04191932507,15075.52622016936,831,18965,3380.813222280992,0.02526217919430099
42,"30","Interdisciplinary Studies",2015,84460.63747413053,14524.265947560565,859,19811,3455.3904260332697,0.025613344641767427
42,"30","Interdisciplinary Studies",2016,83824.19754984624,13759.119781860536,893,20162,3485.865931519203,0.025504343910176943
42,"30","Interdisciplinary Studies",2017,87438.85179884518,14435.39469698535,898,20263,3494.589153089886,0.024881718819263408
42,"30","Interdisciplinary Studies",2018,88049.98489803771,14415.507491226337,914,20792,3539.908398519496,0.024655198378771295
42,"30","Interdisciplinary Studies",2019,88563.49970757384,14519.20414656408,935,20518,3516.5131499816557,0.023531003857992835
